tf	gene	force_LUAD	force_LUSC	delta_force	LUAD_higher
ZNF467	ENSG00000224884	5.64878529475059	2.19486832427202	3.45391697047856	TRUE
ZNF529	ENSG00000224884	5.41147318069186	2.11952295862324	3.29195022206862	TRUE
ZNF467	ENSG00000271133	0.810731813515971	-2.40337928800965	3.21411110152562	TRUE
ZNF467	ENSG00000088726	3.73754996609114	0.525485353113993	3.21206461297715	TRUE
ZNF467	ENSG00000135324	0.878644797461576	-2.25015560206021	3.12880039952178	TRUE
ZNF468	ENSG00000224884	1.13996145305588	-1.92267116531612	3.062632618372	TRUE
ZNF180	ENSG00000224884	5.04121859204172	1.9879147480896	3.05330384395212	TRUE
ZNF418	ENSG00000280798	0.47822287102778	-2.5553182162747	3.03354108730248	TRUE
ZNF880	ENSG00000224884	1.6265878936526	-1.40286530027758	3.02945319393017	TRUE
ZNF467	ENSG00000249973	1.07073103018791	-1.94945266415735	3.02018369434526	TRUE
ZNF467	ENSG00000136688	0.7013591296397	-2.31278795808883	3.01414708772853	TRUE
ZNF467	ENSG00000260581	1.25228524229107	-1.74929313004649	3.00157837233756	TRUE
KLF7	ENSG00000134551	1.04303895658913	-1.95293630496379	2.99597526155292	TRUE
ZNF467	ENSG00000224511	5.40857373010033	2.41449552088837	2.99407820921196	TRUE
ZNF880	ENSG00000135324	0.879655791198665	-2.10606921332736	2.98572500452603	TRUE
ZNF341	ENSG00000224884	1.17362295412781	-1.80570938878583	2.97933234291364	TRUE
ZNF334	ENSG00000197385	1.53857644545725	-1.44018458868929	2.97876103414653	TRUE
ZNF398	ENSG00000135324	0.922053932512168	-2.03881601182479	2.96086994433695	TRUE
ZNF418	ENSG00000249967	-0.488100645822284	-3.44529852332935	2.95719787750706	TRUE
ZNF467	ENSG00000228541	1.4444157305467	-1.50604452531223	2.95046025585894	TRUE
ZNF235	ENSG00000280798	0.196074468933571	-2.7528822430661	2.94895671199968	TRUE
ZNF418	ENSG00000258745	-0.90168036516206	-3.85028863839842	2.94860827323636	TRUE
ZNF880	ENSG00000271133	0.552962543183704	-2.3878273970769	2.94078994026061	TRUE
ZNF418	ENSG00000234521	1.45740165068484	-1.48044704448843	2.93784869517327	TRUE
ZNF398	ENSG00000271133	0.509762805602699	-2.42035634123531	2.93011914683801	TRUE
ZNF418	ENSG00000116704	-0.154472990143842	-3.08438402727488	2.92991103713104	TRUE
ZNF304	ENSG00000224884	0.740300349341971	-2.18683899582718	2.92713934516915	TRUE
ZNF880	ENSG00000260581	1.39937268078475	-1.52140825756563	2.92078093835039	TRUE
ZNF467	ENSG00000237674	0.416627670422695	-2.49786971868081	2.9144973891035	TRUE
ZNF398	ENSG00000224884	1.5533464687184	-1.36095728068841	2.91430374940681	TRUE
ZNF383	ENSG00000224884	5.31529267560288	2.41800086829864	2.89729180730424	TRUE
ZNF180	ENSG00000224553	0.0516486448988062	-2.83367941175798	2.88532805665678	TRUE
ZNF235	ENSG00000115008	4.16745070345996	1.28433607522615	2.8831146282338	TRUE
ZNF180	ENSG00000126337	0.831277572906964	-2.04705584012738	2.87833341303434	TRUE
ZNF879	ENSG00000280798	0.576751899843801	-2.29760496716428	2.87435686700808	TRUE
ZNF304	ENSG00000125695	0.702372812596817	-2.16819627833349	2.87056909093031	TRUE
ZNF529	ENSG00000224511	5.19858525108692	2.33561574294862	2.8629695081383	TRUE
FOXD2	ENSG00000197385	1.44382676928388	-1.41094066676069	2.85476743604457	TRUE
ZNF432	ENSG00000088726	3.52177732491737	0.667308123073972	2.85446920184339	TRUE
ZNF334	ENSG00000213434	0.983621560895869	-1.86587120552614	2.84949276642201	TRUE
ZNF432	ENSG00000135324	0.877932697181545	-1.96385953587719	2.84179223305874	TRUE
ZNF180	ENSG00000238003	0.313561488486105	-2.52555616507202	2.83911765355813	TRUE
ZNF235	ENSG00000171867	3.29848859891172	0.461695664945626	2.83679293396609	TRUE
ZNF418	ENSG00000270788	-0.374829106096955	-3.21034602569448	2.83551691959752	TRUE
ZNF467	ENSG00000242317	0.554851409299251	-2.27545124860356	2.83030265790281	TRUE
ZNF467	ENSG00000238837	1.34962557348788	-1.47933887606475	2.82896444955263	TRUE
ZNF287	ENSG00000280798	6.21440056188857	3.38854252283811	2.82585803905045	TRUE
ZNF432	ENSG00000224884	5.54332015812466	2.71803549189016	2.82528466623451	TRUE
ZNF432	ENSG00000271133	5.12092445247954	2.29895141161869	2.82197304086084	TRUE
ZNF880	ENSG00000136688	4.74502594822658	1.92618733768213	2.81883861054445	TRUE
ZNF879	ENSG00000249967	-0.327508255760869	-3.14513628881086	2.81762803304999	TRUE
HKR1	ENSG00000224884	1.09117218160942	-1.72101140107826	2.81218358268768	TRUE
ZNF304	ENSG00000236780	0.872466843122356	-1.93963618475996	2.81210302788232	TRUE
ZNF879	ENSG00000234521	7.6977788879144	4.88842763655217	2.80935125136223	TRUE
ZNF529	ENSG00000198840	0.848408276449939	-1.95993915511274	2.80834743156268	TRUE
PRDM6	ENSG00000280798	0.407288178892867	-2.40001514315418	2.80730332204705	TRUE
ZNF235	ENSG00000270788	-0.767286061642295	-3.57263643078853	2.80535036914624	TRUE
ZNF880	ENSG00000258761	6.97488691197433	4.17086884639411	2.80401806558022	TRUE
ZNF468	ENSG00000125695	0.624712704179194	-2.1770050090918	2.80171771327099	TRUE
ZNF880	ENSG00000228541	5.17517431674037	2.37624724701481	2.79892706972556	TRUE
ZNF432	ENSG00000264230	5.88659915618175	3.09076457833288	2.79583457784887	TRUE
ZNF432	ENSG00000136688	4.45867896634563	1.66598295321449	2.79269601313114	TRUE
HMG20B	ENSG00000197385	1.37848853271344	-1.40588775133857	2.78437628405201	TRUE
ZNF180	ENSG00000198840	1.07336109458307	-1.70682900598387	2.78019010056694	TRUE
ZNF235	ENSG00000260810	-0.365828117306498	-3.14558542735239	2.77975731004589	TRUE
ZNF880	ENSG00000242317	0.745414052204549	-2.03125958685015	2.7766736390547	TRUE
ZNF467	ENSG00000264230	1.13332620331962	-1.64315863144986	2.77648483476948	TRUE
ZNF432	ENSG00000260581	1.15448363456704	-1.61344190054198	2.76792553510902	TRUE
ZNF180	ENSG00000224511	0.901915301889008	-1.86388207738956	2.76579737927857	TRUE
ZNF418	ENSG00000197385	0.664541573663921	-2.09980471166543	2.76434628532935	TRUE
ZNF235	ENSG00000234521	1.51500748505033	-1.24903934371403	2.76404682876436	TRUE
ZNF132	ENSG00000224884	1.20758942880533	-1.55408022297589	2.76166965178122	TRUE
ZNF235	ENSG00000255443	-0.672253767944191	-3.42906243603951	2.75680866809532	TRUE
ZNF879	ENSG00000258745	-0.789040858316424	-3.54246551792937	2.75342465961295	TRUE
ZNF180	ENSG00000236780	0.848238574883432	-1.90151144616096	2.7497500210444	TRUE
ZNF529	ENSG00000271133	0.731428277291341	-2.00846654446288	2.73989482175423	TRUE
ZNF467	ENSG00000258631	0.748733902066622	-1.99107684185855	2.73981074392517	TRUE
ZNF467	ENSG00000198840	0.41745360076755	-2.32208425455584	2.73953785532339	TRUE
ZNF879	ENSG00000116704	0.0136905558891001	-2.72414298140734	2.73783353729644	TRUE
VSX2	ENSG00000197385	1.20573909706378	-1.53207678025282	2.7378158773166	TRUE
FOXD3	ENSG00000197385	1.36414809677001	-1.37015569136228	2.73430378813229	TRUE
ZNF235	ENSG00000116704	-0.76856707919257	-3.50238991048726	2.73382283129469	TRUE
ZNF432	ENSG00000258657	0.114209744603185	-2.61890415327694	2.73311389788013	TRUE
ZNF398	ENSG00000258761	1.88875658986593	-0.839128182942829	2.72788477280876	TRUE
ZNF281	ENSG00000224884	0.872261156343128	-1.85489084919161	2.72715200553474	TRUE
PRDM9	ENSG00000224884	0.984872140532917	-1.73942360021851	2.72429574075143	TRUE
ZNF235	ENSG00000249967	-1.01387986026373	-3.73788588548523	2.7240060252215	TRUE
ZNF180	ENSG00000268295	-0.191994553026829	-2.91580577992131	2.72381122689448	TRUE
ZNF304	ENSG00000134551	1.0472355900182	-1.67577449674571	2.72301008676391	TRUE
ZNF235	ENSG00000258657	0.190895491776576	-2.52824441541757	2.71913990719414	TRUE
NR1H4	ENSG00000197385	1.45508780734974	-1.26233263109877	2.71742043844851	TRUE
ZNF418	ENSG00000213434	0.740345994724135	-1.97706971257383	2.71741570729796	TRUE
ZNF418	ENSG00000171867	3.6014805493258	0.886765367744413	2.71471518158139	TRUE
ZNF383	ENSG00000224511	0.830277030160458	-1.88408842281609	2.71436545297655	TRUE
ZNF235	ENSG00000258745	3.71739226904523	1.003203353665	2.71418891538023	TRUE
ZNF304	ENSG00000238003	0.576068823026848	-2.13772755509881	2.71379637812566	TRUE
ZNF467	ENSG00000283796	1.10208222764085	-1.60495692704363	2.70703915468448	TRUE
ZNF468	ENSG00000224511	0.81455307652128	-1.89202482582143	2.70657790234271	TRUE
ZNF418	ENSG00000232004	-0.430821518824128	-3.13509394294523	2.7042724241211	TRUE
ZNF287	ENSG00000115008	4.10128210768467	1.3989396864709	2.70234242121377	TRUE
ZNF880	ENSG00000238837	1.46151706663914	-1.24053957068299	2.70205663732212	TRUE
ZNF304	ENSG00000224553	0.271385213559722	-2.42637487837936	2.69776009193908	TRUE
ZNF180	ENSG00000243455	-0.747431829995699	-3.44415620476198	2.69672437476628	TRUE
POU3F3	ENSG00000197385	1.3367689308401	-1.35559737897408	2.69236630981418	TRUE
ZNF467	ENSG00000258761	1.7589303706993	-0.933063328141233	2.69199369884053	TRUE
ZNF383	ENSG00000125695	0.431448090129991	-2.25859693953817	2.69004502966816	TRUE
FOXD2	ENSG00000213434	0.786258030701451	-1.9031341143409	2.68939214504235	TRUE
ZNF880	ENSG00000088726	3.47560193097939	0.788543298358732	2.68705863262066	TRUE
ZNF334	ENSG00000280798	0.856408128211362	-1.82814889629113	2.68455702450249	TRUE
ZNF320	ENSG00000125695	0.822640621491501	-1.86066052124027	2.68330114273177	TRUE
ZNF25	ENSG00000197385	1.37970419311053	-1.30300235386879	2.68270654697932	TRUE
ZNF880	ENSG00000249973	0.934726945081701	-1.74427553332696	2.67900247840866	TRUE
ZNF304	ENSG00000224511	0.680006144489695	-1.99850784262475	2.67851398711445	TRUE
ZNF418	ENSG00000100504	2.28344873340301	-0.394660953727939	2.67810968713095	TRUE
ZNF432	ENSG00000238837	5.83955868402648	3.16204521474619	2.67751346928029	TRUE
ZNF304	ENSG00000126337	0.769814264427498	-1.90541919014434	2.67523345457184	TRUE
ZNF529	ENSG00000238003	-0.039922001653917	-2.7118275594724	2.67190555781848	TRUE
ZNF444	ENSG00000224884	0.943159965612342	-1.72863120653867	2.67179117215102	TRUE
ZNF529	ENSG00000224553	-0.317064946364523	-2.98566721662034	2.66860227025582	TRUE
ZNF320	ENSG00000278703	0.970704312062827	-1.69337755330706	2.66408186536989	TRUE
ZNF25	ENSG00000213434	0.87591440018172	-1.78724266321721	2.66315706339893	TRUE
ZNF529	ENSG00000125695	0.200648337868548	-2.46171358223262	2.66236192010117	TRUE
ZNF418	ENSG00000254213	5.6540521122811	2.99433321991968	2.65971889236142	TRUE
ARID5B	ENSG00000197385	1.40575558583282	-1.2528553406026	2.65861092643542	TRUE
ZNF529	ENSG00000088726	3.67842535810176	1.02102372897101	2.65740162913075	TRUE
ZNF334	ENSG00000234521	7.42152459770846	4.76437409511772	2.65715050259073	TRUE
ZNF304	ENSG00000243455	-0.44137107849811	-3.09391915097362	2.65254807247551	TRUE
ZNF529	ENSG00000268295	3.72755739176113	1.07611675633162	2.65144063542951	TRUE
ZIM2	ENSG00000224884	0.793257419530196	-1.85670342934066	2.64996084887085	TRUE
ZNF432	ENSG00000228541	1.35388054364066	-1.29431126328507	2.64819180692573	TRUE
ZNF33B	ENSG00000213434	0.924016596282083	-1.72305672185453	2.64707331813661	TRUE
ZNF879	ENSG00000197385	0.739320884558944	-1.90652121384633	2.64584209840528	TRUE
ZNF432	ENSG00000242317	0.707887225256014	-1.93024124884449	2.6381284741005	TRUE
ZNF235	ENSG00000254213	5.44180768815222	2.80386740516177	2.63794028299045	TRUE
ZNF180	ENSG00000134551	0.987736177099605	-1.64914227871548	2.63687845581508	TRUE
PRDM6	ENSG00000115008	3.95139538026213	1.31666756470351	2.63472781555862	TRUE
