tf	gene	motif	force
ZBED1	ENSG00000232864	1	13.5017686979974
GATA2	ENSG00000104979	1	13.4958944497177
CEBPG	ENSG00000250218	1	13.4869814033794
CEBPB	ENSG00000270117	1	13.4835992957557
GATA2	ENSG00000272716	1	13.4815000617001
ZNF385D	ENSG00000008277	1	13.4744564024301
CEBPG	ENSG00000280383	1	13.465753725238
CEBPD	ENSG00000280383	1	13.4568528379737
GATA2	ENSG00000257826	1	13.4510637961189
CEBPB	ENSG00000136315	1	13.431607960451
ZNF385D	ENSG00000163714	1	13.4228380759671
GATA2	ENSG00000076053	1	13.4120537040199
MTF2	ENSG00000213185	1	13.4054269069902
CEBPB	ENSG00000169972	1	13.4037040156763
CEBPD	ENSG00000250218	1	13.3728154622991
ZBED1	ENSG00000185127	1	13.3643408358631
GATA2	ENSG00000167617	1	13.3638482598123
ZBED1	ENSG00000234471	1	13.3589706555472
ZNF385D	ENSG00000114857	1	13.3513792345527
GATA2	ENSG00000266998	1	13.3294343747199
GATA2	ENSG00000146858	1	13.3264591279657
ZNF283	ENSG00000265612	1	13.3116320066899
CEBPG	ENSG00000130770	1	13.3094860852515
CEBPG	ENSG00000174697	1	13.3090030539173
ESR2	ENSG00000265612	1	13.3009627609259
GATA2	ENSG00000284176	1	13.2780921644644
CEBPB	ENSG00000228143	1	13.2676115684263
GATA2	ENSG00000159346	1	13.2459485280636
CEBPB	ENSG00000100804	1	13.2453271440782
ZBED1	ENSG00000269955	1	13.2262501330539
GATA2	ENSG00000063177	1	13.2085363376837
ERG	ENSG00000171204	1	13.1925404752366
ZBED1	ENSG00000229862	1	13.1806026300053
CEBPD	ENSG00000130770	1	13.1740365937112
CEBPB	ENSG00000273129	1	13.1704145720619
GATA2	ENSG00000264701	1	13.1411123281039
ZBED1	ENSG00000176407	1	13.0933602321635
ZBED1	ENSG00000184357	1	13.0906824678158
ZBED1	ENSG00000270136	1	13.0823195845186
ERG	ENSG00000261193	1	13.0788897354831
GATA2	ENSG00000257199	1	13.0779574637734
GATA2	ENSG00000158406	1	13.0670475733256
CEBPG	ENSG00000213557	1	13.0657117545291
GATA2	ENSG00000189043	1	13.0600918884447
CEBPG	ENSG00000270117	1	13.0499377128614
ZNF324B	ENSG00000264810	1	13.0355749278327
ZBED1	ENSG00000155463	1	13.0276313555122
CEBPD	ENSG00000213557	1	13.0136996856175
ZBED1	ENSG00000162775	1	13.0090579551554
GATA2	ENSG00000232979	1	13.0056810125185
CEBPB	ENSG00000103152	1	13.0026802006913
CEBPB	ENSG00000254109	1	12.9916191173821
GATA2	ENSG00000211819	1	12.9884680080696
ZBED1	ENSG00000171453	1	12.9807231248407
ZBED1	ENSG00000130764	1	12.9774960531456
ZBED1	ENSG00000266718	1	12.9771604743224
CEBPG	ENSG00000123179	1	12.9751394450017
