tf	gene	motif	force
ZBED1	ENSG00000272153	1	13.504495123372
ZNF385D	ENSG00000008277	1	13.4833220166309
ZNF331	ENSG00000265612	1	13.4682510689392
CEBPB	ENSG00000270117	1	13.4392798794894
CEBPG	ENSG00000280383	1	13.4136637418136
ZNF385D	ENSG00000114857	1	13.4089122467674
CEBPD	ENSG00000280383	1	13.3990271583916
ZBED1	ENSG00000269547	1	13.3953951971308
CEBPB	ENSG00000100804	1	13.3894819822184
GATA2	ENSG00000063177	1	13.3818461802127
CEBPB	ENSG00000169972	1	13.3760497437097
GATA2	ENSG00000284176	1	13.3448283073049
GATA2	ENSG00000076053	1	13.3427699147968
CEBPG	ENSG00000250218	1	13.3427273010392
ZBED1	ENSG00000234471	1	13.340571917245
GATA2	ENSG00000257199	1	13.3309053969045
GATA2	ENSG00000264701	1	13.3230548062433
ESR2	ENSG00000265612	1	13.3229227228156
ZBED1	ENSG00000185127	1	13.3067324929698
GATA2	ENSG00000257826	1	13.3049820283313
GATA2	ENSG00000167617	1	13.3028296116467
ZBED1	ENSG00000267328	1	13.2980829528625
ZNF765	ENSG00000265612	1	13.2960060957293
ZNF324B	ENSG00000264810	1	13.2933495647428
CEBPG	ENSG00000130770	1	13.2892251281301
ZBED1	ENSG00000269955	1	13.283482868631
GATA2	ENSG00000159346	1	13.2655829576694
GATA2	ENSG00000146858	1	13.2590177627393
GATA2	ENSG00000158406	1	13.2566788010797
MTF2	ENSG00000213185	1	13.2545272879652
CEBPD	ENSG00000250218	1	13.2522699235187
CEBPG	ENSG00000174697	1	13.2513625052445
CEBPB	ENSG00000273129	1	13.2169367760665
CEBPD	ENSG00000130770	1	13.2090371169875
ZBED1	ENSG00000270136	1	13.1932337499483
CEBPB	ENSG00000228143	1	13.1868679616426
ZBED1	ENSG00000229862	1	13.1790823715976
ZBED1	ENSG00000162775	1	13.1600067870834
ZBED1	ENSG00000176407	1	13.1360510381736
ZBED1	ENSG00000258788	1	13.124941694461
ERG	ENSG00000261193	1	13.1095028182248
GATA2	ENSG00000115255	1	13.1034923171219
CEBPG	ENSG00000229393	1	13.1001003996153
CEBPG	ENSG00000213557	1	13.0877481370542
CEBPB	ENSG00000100906	1	13.0851291281391
CEBPB	ENSG00000103152	1	13.0656156619115
GATA2	ENSG00000266998	1	13.0652913649849
GATA2	ENSG00000267633	1	13.0474313528063
ZBED1	ENSG00000253541	1	13.0416741504147
ERG	ENSG00000171204	1	13.0402937281065
CEBPD	ENSG00000213557	1	13.0277120708549
ZBED1	ENSG00000184357	1	13.0035104535072
GATA2	ENSG00000125952	1	12.9995806457892
CEBPG	ENSG00000270117	1	12.9958455283799
ZNF283	ENSG00000265612	1	12.9841124284815
GATA2	ENSG00000205307	1	12.9740796529261
ZBED1	ENSG00000266718	1	12.949007769952
GATA2	ENSG00000189043	1	12.9290289896407
CEBPB	ENSG00000126821	1	12.9259075169803
CEBPB	ENSG00000233494	1	12.9247166272145
CEBPD	ENSG00000136315	1	12.9198102659857
GATA2	ENSG00000211819	1	12.9121774249334
GATA2	ENSG00000232979	1	12.9121563002384
ZBED1	ENSG00000171453	1	12.9092130742184
GATA2	ENSG00000274422	1	12.9071057643592
ZBED1	ENSG00000155463	1	12.9047969065641
ZBED1	ENSG00000179965	1	12.9047426084088
CEBPG	ENSG00000136315	1	12.8915010104145
CEBPB	ENSG00000237167	1	12.8668562553138
GATA2	ENSG00000134716	1	12.8513050188893
CEBPB	ENSG00000254109	1	12.8408826653743
CEBPD	ENSG00000100804	1	12.8336857044538
ZBED1	ENSG00000173436	1	12.824050406076
ZKSCAN3	ENSG00000264781	1	12.818673612286
CEBPG	ENSG00000123179	1	12.8166669697687
